Czas,Zmienna
3.31,-2.305409287
3.32,-2.405978357
3.33,-3.233365977
3.34,-2.385868293
3.35,-3.163706583
3.36,-2.427224581
3.37,-2.931441103
3.38,-3.135822566
3.39,-2.784716534
3.4,-2.559178499
3.41,-2.487115049
3.42,-2.688500374
3.43,-3.012842027
3.44,-2.544357473
3.45,-2.839011981
3.46,-3.11888754
3.47,-2.785142549
3.48,-3.235859877
3.49,-2.873198261
3.5,-2.886636205
3.51,-3.086874442
3.52,-3.267480177
3.53,-3.208457709
3.54,-2.297688685
3.55,-2.62863042
3.56,-2.830902572
3.57,-2.461139546
3.58,-2.561925283
3.59,-2.344528589
3.6,-2.96249204
3.61,-2.478424835
3.62,-3.118613874
3.63,-3.008109042
3.64,-2.665132716
3.65,-2.3876915
3.66,-2.468218932
3.67,-2.602209697
3.68,-3.101123014
3.69,-3.073695626
3.7,-2.270236103
3.71,-2.613479698
3.72,-2.158841255
3.73,-2.484072266
3.74,-2.496480225
3.75,-2.806307896
3.76,-2.971442537
3.77,-2.918130919
3.78,-2.225711218
3.79,-2.641571284
3.8,-2.107524349
3.81,-2.826969519
3.82,-2.146302974
3.83,-2.726270459
3.84,-2.780576758
3.85,-2.57080331
3.86,-2.3220445
3.87,-2.082745493
3.88,-2.06731088
3.89,-2.206641167
3.9,-2.286148482
3.91,-2.670710538
3.92,-2.366212445
3.93,-2.707165245
3.94,-2.110274727
3.95,-2.712148036
3.96,-2.532982
3.97,-1.737587367
3.98,-2.509521917
3.99,-2.189749111
4,-2.424302155
